building_idx,row,col,x,y,poi_count,poi_diversity,reachable_area_m2,reachable_buildings,reachable_streets,poi_types
806216,1600,1661,290977.5,5035065.5,1505,6,43767.0,0,43767,"{'CASA': 969, 'BOTTEGA': 94, 'MIXED': 193, 'MAGAZZINO': 52, 'INVIAMENTO': 30, 'OTHER': 6}"
893438,1664,3089,292405.5,5035001.5,775,7,22486.0,0,22486,"{'CASA': 639, 'MIXED': 62, 'BOTTEGA': 31, 'MAGAZZINO': 7, 'OTHER': 11, 'INVIAMENTO': 7, 'TRAGHETTO': 12}"
260620,1018,2591,291907.5,5035647.5,604,6,21277.0,0,21277,"{'CASA': 527, 'BOTTEGA': 13, 'MIXED': 29, 'MAGAZZINO': 23, 'OTHER': 6, 'INVIAMENTO': 4}"
591836,1415,1552,290868.5,5035250.5,1641,6,41720.0,0,41720,"{'INVIAMENTO': 18, 'CASA': 977, 'MAGAZZINO': 23, 'BOTTEGA': 54, 'MIXED': 131, 'OTHER': 9}"
408910,1225,1212,290528.5,5035440.5,415,6,12561.0,0,12561,"{'CASA': 331, 'MIXED': 46, 'BOTTEGA': 7, 'MAGAZZINO': 3, 'INVIAMENTO': 1, 'TRAGHETTO': 19}"
1778782,2287,3876,293192.5,5034378.5,1345,6,40819.0,0,40819,"{'CASA': 1178, 'BOTTEGA': 41, 'INVIAMENTO': 12, 'MIXED': 73, 'MAGAZZINO': 19, 'OTHER': 13}"
1382810,1989,3909,293225.5,5034676.5,323,6,12406.0,0,12406,"{'CASA': 295, 'OTHER': 1, 'BOTTEGA': 9, 'INVIAMENTO': 9, 'MIXED': 6, 'MAGAZZINO': 1}"
648219,1469,950,290266.5,5035196.5,224,6,13373.0,0,13373,"{'MIXED': 20, 'CASA': 181, 'BOTTEGA': 5, 'MAGAZZINO': 2, 'INVIAMENTO': 6, 'TRAGHETTO': 9}"
1447794,2037,1016,290332.5,5034628.5,1069,7,34953.0,0,34953,"{'CASA': 893, 'MIXED': 65, 'INVIAMENTO': 21, 'OTHER': 6, 'BOTTEGA': 31, 'MAGAZZINO': 6, 'TRAGHETTO': 17}"
1164825,1849,2931,292247.5,5034816.5,1131,6,30106.0,0,30106,"{'CASA': 764, 'MAGAZZINO': 34, 'MIXED': 133, 'BOTTEGA': 152, 'INVIAMENTO': 19, 'OTHER': 23}"
1929419,2573,2031,291347.5,5034092.5,807,7,23108.0,0,23108,"{'CASA': 621, 'MAGAZZINO': 20, 'OTHER': 14, 'BOTTEGA': 27, 'MIXED': 51, 'INVIAMENTO': 17, 'TRAGHETTO': 52}"
1728923,2236,3423,292739.5,5034429.5,426,7,25119.0,0,25119,"{'CASA': 267, 'INVIAMENTO': 14, 'BOTTEGA': 42, 'MAGAZZINO': 14, 'MIXED': 74, 'OTHER': 6, 'TRAGHETTO': 7}"
1305172,1935,3476,292792.5,5034730.5,368,7,29271.0,0,29271,"{'CASA': 239, 'MAGAZZINO': 18, 'MIXED': 52, 'INVIAMENTO': 11, 'BOTTEGA': 29, 'OTHER': 8, 'TRAGHETTO': 7}"
1688367,2200,1790,291106.5,5034465.5,823,6,29663.0,0,29663,"{'CASA': 676, 'MIXED': 67, 'BOTTEGA': 46, 'OTHER': 12, 'INVIAMENTO': 11, 'MAGAZZINO': 7}"
1711219,2220,3409,292725.5,5034445.5,328,7,24915.0,0,24915,"{'CASA': 193, 'INVIAMENTO': 14, 'BOTTEGA': 32, 'MAGAZZINO': 15, 'MIXED': 59, 'OTHER': 6, 'TRAGHETTO': 7}"
179490,879,1839,291155.5,5035786.5,1544,7,37609.0,0,37609,"{'MIXED': 217, 'INVIAMENTO': 45, 'OTHER': 22, 'CASA': 1105, 'MAGAZZINO': 31, 'BOTTEGA': 83, 'TRAGHETTO': 27}"
1511710,2078,3284,292600.5,5034587.5,561,7,33205.0,0,33205,"{'BOTTEGA': 61, 'MIXED': 97, 'INVIAMENTO': 11, 'TRAGHETTO': 12, 'CASA': 339, 'OTHER': 9, 'MAGAZZINO': 24}"
1349560,1966,3801,293117.5,5034699.5,323,6,12406.0,0,12406,"{'CASA': 295, 'OTHER': 1, 'BOTTEGA': 9, 'INVIAMENTO': 9, 'MIXED': 6, 'MAGAZZINO': 1}"
517835,1337,1912,291228.5,5035328.5,1306,7,22379.0,0,22379,"{'CASA': 873, 'BOTTEGA': 107, 'MIXED': 121, 'INVIAMENTO': 14, 'MAGAZZINO': 69, 'OTHER': 9, 'TRAGHETTO': 25}"
1304081,1935,1280,290596.5,5034730.5,1726,7,35517.0,0,35517,"{'MIXED': 221, 'CASA': 1289, 'INVIAMENTO': 28, 'BOTTEGA': 117, 'MAGAZZINO': 36, 'OTHER': 9, 'TRAGHETTO': 16}"
1285580,1923,933,290249.5,5034742.5,841,6,27822.0,0,27822,"{'CASA': 718, 'MIXED': 62, 'OTHER': 11, 'BOTTEGA': 19, 'INVIAMENTO': 17, 'MAGAZZINO': 4}"
1196112,1870,2485,291801.5,5034795.5,3689,7,67918.0,0,67918,"{'BOTTEGA': 1004, 'CASA': 1548, 'MIXED': 814, 'MAGAZZINO': 160, 'OTHER': 76, 'INVIAMENTO': 41, 'TRAGHETTO': 13}"
1227978,1889,3666,292982.5,5034776.5,0,0,1332.0,0,1332,{}
