building_idx,row,col,x,y,poi_count,poi_diversity,reachable_area_m2,reachable_buildings,reachable_streets,poi_types
563578,1386,1879,291195.5,5035279.5,97,6,37095.0,0,37095,"{'CASA': 65, 'MAGAZZINO': 2, 'BOTTEGA': 10, 'MIXED': 9, 'OTHER': 1, 'INVIAMENTO': 3}"
1896490,2489,2175,291491.5,5034176.5,30,3,16380.0,0,16380,"{'CASA': 26, 'MIXED': 1, 'MAGAZZINO': 3}"
1169039,1852,3377,292693.5,5034813.5,51,6,27695.0,0,27695,"{'INVIAMENTO': 6, 'OTHER': 3, 'MIXED': 5, 'CASA': 34, 'BOTTEGA': 2, 'MAGAZZINO': 1}"
594706,1418,829,290145.5,5035247.5,13,2,9895.0,0,9895,"{'CASA': 12, 'MAGAZZINO': 1}"
762721,1566,1661,290977.5,5035099.5,139,5,39345.0,0,39345,"{'CASA': 77, 'MIXED': 18, 'BOTTEGA': 10, 'INVIAMENTO': 6, 'MAGAZZINO': 2}"
266238,1027,2512,291828.5,5035638.5,74,5,21674.0,0,21674,"{'CASA': 63, 'MAGAZZINO': 2, 'MIXED': 6, 'BOTTEGA': 2, 'OTHER': 1}"
392847,1206,1383,290699.5,5035459.5,120,3,22055.0,0,22055,"{'CASA': 80, 'MIXED': 7, 'INVIAMENTO': 1}"
1082302,1789,2635,291951.5,5034876.5,401,6,49084.0,0,49084,"{'CASA': 149, 'BOTTEGA': 128, 'MIXED': 107, 'INVIAMENTO': 4, 'MAGAZZINO': 11, 'OTHER': 1}"
1262511,1909,2564,291880.5,5034756.5,545,6,63104.0,0,63104,"{'CASA': 187, 'OTHER': 5, 'BOTTEGA': 182, 'MIXED': 146, 'INVIAMENTO': 4, 'MAGAZZINO': 13}"
1175724,1857,2627,291943.5,5034808.5,487,6,57323.0,0,57323,"{'CASA': 172, 'OTHER': 3, 'BOTTEGA': 151, 'MIXED': 140, 'INVIAMENTO': 3, 'MAGAZZINO': 11}"
1799545,2320,1313,290629.5,5034345.5,33,5,30956.0,0,30956,"{'CASA': 26, 'BOTTEGA': 2, 'TRAGHETTO': 1, 'MIXED': 1, 'OTHER': 1}"
1395039,1998,3359,292675.5,5034667.5,65,7,38366.0,0,38366,"{'BOTTEGA': 4, 'CASA': 38, 'INVIAMENTO': 7, 'OTHER': 3, 'TRAGHETTO': 7, 'MIXED': 5, 'MAGAZZINO': 1}"
775960,1577,1144,290460.5,5035088.5,43,6,15893.0,0,15893,"{'BOTTEGA': 3, 'CASA': 34, 'OTHER': 1, 'INVIAMENTO': 3, 'MIXED': 1, 'MAGAZZINO': 1}"
1106245,1807,3542,292858.5,5034858.5,0,0,1332.0,0,1332,{}
279183,1045,2429,291745.5,5035620.5,90,5,24470.0,0,24470,"{'CASA': 75, 'MIXED': 8, 'BOTTEGA': 4, 'MAGAZZINO': 2, 'OTHER': 1}"
192280,901,2417,291733.5,5035764.5,15,2,10355.0,0,10355,"{'CASA': 14, 'MAGAZZINO': 1}"
871427,1648,2573,291889.5,5035017.5,559,7,53726.0,0,53726,"{'CASA': 180, 'BOTTEGA': 204, 'MIXED': 147, 'INVIAMENTO': 7, 'MAGAZZINO': 13, 'TRAGHETTO': 4, 'OTHER': 1}"
1547100,2101,3920,293236.5,5034564.5,93,5,18519.0,0,18519,"{'CASA': 80, 'BOTTEGA': 4, 'INVIAMENTO': 4, 'MIXED': 4, 'OTHER': 1}"
1794951,2311,4048,293364.5,5034354.5,118,5,26230.0,0,26230,"{'CASA': 103, 'BOTTEGA': 6, 'INVIAMENTO': 4, 'MIXED': 4, 'OTHER': 1}"
455816,1274,1794,291110.5,5035391.5,136,6,35663.0,0,35663,"{'CASA': 80, 'BOTTEGA': 6, 'MIXED': 10, 'OTHER': 1, 'INVIAMENTO': 2, 'MAGAZZINO': 1}"
1150296,1839,1752,291068.5,5034826.5,61,5,25155.0,0,25155,"{'CASA': 31, 'MIXED': 14, 'BOTTEGA': 10, 'INVIAMENTO': 4, 'MAGAZZINO': 2}"
1220592,1885,2557,291873.5,5034780.5,606,6,64553.0,0,64553,"{'BOTTEGA': 193, 'MIXED': 158, 'CASA': 221, 'INVIAMENTO': 7, 'MAGAZZINO': 13, 'OTHER': 6}"
1346124,1964,2498,291814.5,5034701.5,538,7,56372.0,0,56372,"{'CASA': 172, 'BOTTEGA': 179, 'MIXED': 143, 'TRAGHETTO': 14, 'INVIAMENTO': 3, 'OTHER': 4, 'MAGAZZINO': 13}"
1166331,1850,3304,292620.5,5034815.5,68,7,35882.0,0,35882,"{'BOTTEGA': 6, 'INVIAMENTO': 7, 'CASA': 37, 'OTHER': 3, 'TRAGHETTO': 7, 'MIXED': 7, 'MAGAZZINO': 1}"
280652,1047,2290,291606.5,5035618.5,87,5,18265.0,0,18265,"{'CASA': 59, 'MIXED': 12, 'INVIAMENTO': 1, 'BOTTEGA': 9, 'MAGAZZINO': 5}"
1287721,1924,2200,291516.5,5034741.5,492,6,38556.0,0,38556,"{'CASA': 241, 'MIXED': 104, 'BOTTEGA': 94, 'MAGAZZINO': 15, 'INVIAMENTO': 20, 'OTHER': 9}"
198899,913,1695,291011.5,5035752.5,178,7,38131.0,0,38131,"{'CASA': 113, 'MIXED': 16, 'BOTTEGA': 22, 'MAGAZZINO': 2, 'INVIAMENTO': 4, 'TRAGHETTO': 6, 'OTHER': 8}"
1085374,1792,778,290094.5,5034873.5,131,5,16608.0,0,16608,"{'CASA': 114, 'MIXED': 8, 'BOTTEGA': 4, 'INVIAMENTO': 2, 'MAGAZZINO': 1}"
660181,1479,2268,291584.5,5035186.5,652,7,44613.0,0,44613,"{'CASA': 106, 'MAGAZZINO': 38, 'BOTTEGA': 329, 'MIXED': 92, 'INVIAMENTO': 5, 'TRAGHETTO': 48, 'OTHER': 6}"
536775,1358,1891,291207.5,5035307.5,94,6,29516.0,0,29516,"{'CASA': 61, 'MAGAZZINO': 2, 'BOTTEGA': 6, 'MIXED': 9, 'OTHER': 1, 'INVIAMENTO': 3}"
8813,498,1690,291006.5,5036167.5,48,6,20194.0,0,20194,"{'CASA': 35, 'MAGAZZINO': 3, 'OTHER': 1, 'MIXED': 6, 'INVIAMENTO': 2, 'BOTTEGA': 1}"
1830408,2379,4096,293412.5,5034286.5,49,1,16930.0,0,16930,{'CASA': 49}
192128,901,1968,291284.5,5035764.5,140,7,35682.0,0,35682,"{'BOTTEGA': 13, 'CASA': 99, 'OTHER': 2, 'MAGAZZINO': 2, 'MIXED': 15, 'INVIAMENTO': 3, 'TRAGHETTO': 6}"
1502442,2072,3687,293003.5,5034593.5,95,6,27389.0,0,27389,"{'INVIAMENTO': 3, 'CASA': 80, 'MAGAZZINO': 2, 'MIXED': 4, 'BOTTEGA': 5, 'OTHER': 1}"
379790,1188,2340,291656.5,5035477.5,218,6,32643.0,0,32643,"{'CASA': 162, 'MIXED': 24, 'INVIAMENTO': 3, 'BOTTEGA': 16, 'MAGAZZINO': 8, 'OTHER': 3}"
1610945,2145,3697,293013.5,5034520.5,102,6,28234.0,0,28234,"{'INVIAMENTO': 3, 'CASA': 87, 'MAGAZZINO': 2, 'MIXED': 4, 'BOTTEGA': 5, 'OTHER': 1}"
1832547,2383,1269,290585.5,5034282.5,31,6,23519.0,0,23519,"{'CASA': 21, 'BOTTEGA': 2, 'TRAGHETTO': 1, 'MIXED': 3, 'OTHER': 1, 'INVIAMENTO': 1}"
459500,1277,2625,291941.5,5035388.5,101,5,22714.0,0,22714,"{'CASA': 86, 'MIXED': 7, 'MAGAZZINO': 5, 'BOTTEGA': 1, 'INVIAMENTO': 1}"
495302,1313,2068,291384.5,5035352.5,55,6,13567.0,0,13567,"{'CASA': 30, 'MAGAZZINO': 4, 'BOTTEGA': 9, 'OTHER': 1, 'MIXED': 4, 'INVIAMENTO': 2}"
1353768,1969,3355,292671.5,5034696.5,57,7,35694.0,0,35694,"{'BOTTEGA': 3, 'CASA': 31, 'INVIAMENTO': 7, 'OTHER': 3, 'TRAGHETTO': 7, 'MIXED': 5, 'MAGAZZINO': 1}"
1483544,2060,1205,290521.5,5034605.5,122,5,34116.0,0,34116,"{'BOTTEGA': 8, 'CASA': 94, 'MIXED': 17, 'INVIAMENTO': 2, 'MAGAZZINO': 1}"
786817,1585,1866,291182.5,5035080.5,46,4,35044.0,0,35044,"{'CASA': 30, 'MIXED': 5, 'INVIAMENTO': 4, 'BOTTEGA': 6}"
1704677,2214,2422,291738.5,5034451.5,87,5,23563.0,0,23563,"{'BOTTEGA': 33, 'CASA': 40, 'INVIAMENTO': 1, 'MIXED': 11, 'MAGAZZINO': 2}"
